data,data_inicio_mes,mes_numero,mes_nome,mes_nome_mmm,ano_yyyy,ano_yy,dia_numero,dia_nome,semestre
2024-07-06,2024-07-01,7,Julho,Jul,2024,24,6,Sábado,2
2024-07-07,2024-07-01,7,Julho,Jul,2024,24,7,Domingo,2
2024-07-08,2024-07-01,7,Julho,Jul,2024,24,8,Segunda-Feira,2
2024-07-09,2024-07-01,7,Julho,Jul,2024,24,9,Terça-Feira,2
2024-07-10,2024-07-01,7,Julho,Jul,2024,24,10,Quarta-Feira,2
2024-07-11,2024-07-01,7,Julho,Jul,2024,24,11,Quinta-Feira,2
2024-07-12,2024-07-01,7,Julho,Jul,2024,24,12,Sexta-Feira,2
2024-07-13,2024-07-01,7,Julho,Jul,2024,24,13,Sábado,2
2024-07-14,2024-07-01,7,Julho,Jul,2024,24,14,Domingo,2
2024-07-15,2024-07-01,7,Julho,Jul,2024,24,15,Segunda-Feira,2
2024-07-16,2024-07-01,7,Julho,Jul,2024,24,16,Terça-Feira,2
2024-07-17,2024-07-01,7,Julho,Jul,2024,24,17,Quarta-Feira,2
2024-07-18,2024-07-01,7,Julho,Jul,2024,24,18,Quinta-Feira,2
2024-07-19,2024-07-01,7,Julho,Jul,2024,24,19,Sexta-Feira,2
2024-07-20,2024-07-01,7,Julho,Jul,2024,24,20,Sábado,2
2024-07-21,2024-07-01,7,Julho,Jul,2024,24,21,Domingo,2
2024-07-22,2024-07-01,7,Julho,Jul,2024,24,22,Segunda-Feira,2
2024-07-23,2024-07-01,7,Julho,Jul,2024,24,23,Terça-Feira,2
2024-07-24,2024-07-01,7,Julho,Jul,2024,24,24,Quarta-Feira,2
2024-07-25,2024-07-01,7,Julho,Jul,2024,24,25,Quinta-Feira,2
2024-07-26,2024-07-01,7,Julho,Jul,2024,24,26,Sexta-Feira,2
2024-07-27,2024-07-01,7,Julho,Jul,2024,24,27,Sábado,2
2024-07-28,2024-07-01,7,Julho,Jul,2024,24,28,Domingo,2
2024-07-29,2024-07-01,7,Julho,Jul,2024,24,29,Segunda-Feira,2
2024-07-30,2024-07-01,7,Julho,Jul,2024,24,30,Terça-Feira,2
2024-07-31,2024-07-01,7,Julho,Jul,2024,24,31,Quarta-Feira,2
2022-08-01,2022-08-01,8,Agosto,Ago,2022,22,1,Segunda-Feira,2
2022-08-02,2022-08-01,8,Agosto,Ago,2022,22,2,Terça-Feira,2
2022-08-03,2022-08-01,8,Agosto,Ago,2022,22,3,Quarta-Feira,2
2022-08-04,2022-08-01,8,Agosto,Ago,2022,22,4,Quinta-Feira,2
2022-08-05,2022-08-01,8,Agosto,Ago,2022,22,5,Sexta-Feira,2
2022-08-06,2022-08-01,8,Agosto,Ago,2022,22,6,Sábado,2
2022-08-07,2022-08-01,8,Agosto,Ago,2022,22,7,Domingo,2
2022-08-08,2022-08-01,8,Agosto,Ago,2022,22,8,Segunda-Feira,2
2022-08-09,2022-08-01,8,Agosto,Ago,2022,22,9,Terça-Feira,2
2022-08-10,2022-08-01,8,Agosto,Ago,2022,22,10,Quarta-Feira,2
2022-08-11,2022-08-01,8,Agosto,Ago,2022,22,11,Quinta-Feira,2
2022-08-12,2022-08-01,8,Agosto,Ago,2022,22,12,Sexta-Feira,2
2022-08-13,2022-08-01,8,Agosto,Ago,2022,22,13,Sábado,2
2022-08-14,2022-08-01,8,Agosto,Ago,2022,22,14,Domingo,2
2022-08-15,2022-08-01,8,Agosto,Ago,2022,22,15,Segunda-Feira,2
2022-08-16,2022-08-01,8,Agosto,Ago,2022,22,16,Terça-Feira,2
2022-08-17,2022-08-01,8,Agosto,Ago,2022,22,17,Quarta-Feira,2
2022-08-18,2022-08-01,8,Agosto,Ago,2022,22,18,Quinta-Feira,2
2022-08-19,2022-08-01,8,Agosto,Ago,2022,22,19,Sexta-Feira,2
2022-08-20,2022-08-01,8,Agosto,Ago,2022,22,20,Sábado,2
2022-08-21,2022-08-01,8,Agosto,Ago,2022,22,21,Domingo,2
2022-08-22,2022-08-01,8,Agosto,Ago,2022,22,22,Segunda-Feira,2
2022-08-23,2022-08-01,8,Agosto,Ago,2022,22,23,Terça-Feira,2
2022-08-24,2022-08-01,8,Agosto,Ago,2022,22,24,Quarta-Feira,2
2022-08-25,2022-08-01,8,Agosto,Ago,2022,22,25,Quinta-Feira,2
2022-08-26,2022-08-01,8,Agosto,Ago,2022,22,26,Sexta-Feira,2
2022-08-27,2022-08-01,8,Agosto,Ago,2022,22,27,Sábado,2
2022-08-28,2022-08-01,8,Agosto,Ago,2022,22,28,Domingo,2
2022-08-29,2022-08-01,8,Agosto,Ago,2022,22,29,Segunda-Feira,2
2022-08-30,2022-08-01,8,Agosto,Ago,2022,22,30,Terça-Feira,2
2022-08-31,2022-08-01,8,Agosto,Ago,2022,22,31,Quarta-Feira,2
2023-08-01,2023-08-01,8,Agosto,Ago,2023,23,1,Terça-Feira,2
2023-08-02,2023-08-01,8,Agosto,Ago,2023,23,2,Quarta-Feira,2
2023-08-03,2023-08-01,8,Agosto,Ago,2023,23,3,Quinta-Feira,2
2023-08-04,2023-08-01,8,Agosto,Ago,2023,23,4,Sexta-Feira,2
2023-08-05,2023-08-01,8,Agosto,Ago,2023,23,5,Sábado,2
2023-08-06,2023-08-01,8,Agosto,Ago,2023,23,6,Domingo,2
2023-08-07,2023-08-01,8,Agosto,Ago,2023,23,7,Segunda-Feira,2
2023-08-08,2023-08-01,8,Agosto,Ago,2023,23,8,Terça-Feira,2
2023-08-09,2023-08-01,8,Agosto,Ago,2023,23,9,Quarta-Feira,2
2023-08-10,2023-08-01,8,Agosto,Ago,2023,23,10,Quinta-Feira,2
2023-08-11,2023-08-01,8,Agosto,Ago,2023,23,11,Sexta-Feira,2
2023-08-12,2023-08-01,8,Agosto,Ago,2023,23,12,Sábado,2
2023-08-13,2023-08-01,8,Agosto,Ago,2023,23,13,Domingo,2
2023-08-14,2023-08-01,8,Agosto,Ago,2023,23,14,Segunda-Feira,2
2023-08-15,2023-08-01,8,Agosto,Ago,2023,23,15,Terça-Feira,2
2023-08-16,2023-08-01,8,Agosto,Ago,2023,23,16,Quarta-Feira,2
2023-08-17,2023-08-01,8,Agosto,Ago,2023,23,17,Quinta-Feira,2
2023-08-18,2023-08-01,8,Agosto,Ago,2023,23,18,Sexta-Feira,2
2023-08-19,2023-08-01,8,Agosto,Ago,2023,23,19,Sábado,2
2023-08-20,2023-08-01,8,Agosto,Ago,2023,23,20,Domingo,2
2023-08-21,2023-08-01,8,Agosto,Ago,2023,23,21,Segunda-Feira,2
2023-08-22,2023-08-01,8,Agosto,Ago,2023,23,22,Terça-Feira,2
2023-08-23,2023-08-01,8,Agosto,Ago,2023,23,23,Quarta-Feira,2
2023-08-24,2023-08-01,8,Agosto,Ago,2023,23,24,Quinta-Feira,2
2023-08-25,2023-08-01,8,Agosto,Ago,2023,23,25,Sexta-Feira,2
2023-08-26,2023-08-01,8,Agosto,Ago,2023,23,26,Sábado,2
2023-08-27,2023-08-01,8,Agosto,Ago,2023,23,27,Domingo,2
2023-08-28,2023-08-01,8,Agosto,Ago,2023,23,28,Segunda-Feira,2
2023-08-29,2023-08-01,8,Agosto,Ago,2023,23,29,Terça-Feira,2
2023-08-30,2023-08-01,8,Agosto,Ago,2023,23,30,Quarta-Feira,2
2023-08-31,2023-08-01,8,Agosto,Ago,2023,23,31,Quinta-Feira,2
2024-08-01,2024-08-01,8,Agosto,Ago,2024,24,1,Quinta-Feira,2
